お店の名称（屋号）,"出店するカテゴリーを選んでください
※メインとなるカテゴリーをお選びください

※予定出店数に達し次第募集終了させていただくカテゴリーがございます
","【埋まりましたので申し込み不可】
【2026年7月18日（土）】参加希望の場合はチェックをお願いします。

※【出店料】
テント出店：1日出店につき6,000円（最大3m×3m）
キッチンカー（軽）：1日出店につき7,000円（最大5m）
キッチンカー（中型・大型）：1日出店につき8,000円（最大6.5m）

1日出店も可能ですが、応募多数の場合は希望日程の多い出店を優先させていただきますのでご了承ください。","【2026年7月25日（土）】参加希望の場合はチェックをお願いします。

※【出店料】
テント出店：1日出店につき6,000円（最大3m×3m）
キッチンカー（軽）：1日出店につき7,000円（最大5m）
キッチンカー（中型・大型）：1日出店につき8,000円（最大6.5m）

1日出店も可能ですが、応募多数の場合は希望日程の多い出店を優先させていただきますのでご了承ください。","【2026年8月1日（土）】参加希望の場合はチェックをお願いします。

※【出店料】
テント出店：1日出店につき6,000円（最大3m×3m）
キッチンカー（軽）：1日出店につき7,000円（最大5m）
キッチンカー（中型・大型）：1日出店につき8,000円（最大6.5m）

1日出店も可能ですが、応募多数の場合は希望日程の多い出店を優先させていただきますのでご了承ください。","【2026年8月15日（土）】参加希望の場合はチェックをお願いします。

※【出店料】
テント出店：1日出店につき6,000円（最大3m×3m）
キッチンカー（軽）：1日出店につき7,000円（最大5m）
キッチンカー（中型・大型）：1日出店につき8,000円（最大6.5m）

1日出店も可能ですが、応募多数の場合は希望日程の多い出店を優先させていただきますのでご了承ください。","【2026年8月22日（土）】参加希望の場合はチェックをお願いします。

※【出店料】
テント出店：1日出店につき6,000円（最大3m×3m）
キッチンカー（軽）：1日出店につき7,000円（最大5m）
キッチンカー（中型・大型）：1日出店につき8,000円（最大6.5m）

1日出店も可能ですが、応募多数の場合は希望日程の多い出店を優先させていただきますのでご了承ください。","【2026年8月29日（土）】参加希望の場合はチェックをお願いします。

※【出店料】
テント出店：1日出店につき6,000円（最大3m×3m）
キッチンカー（軽）：1日出店につき7,000円（最大5m）
キッチンカー（中型・大型）：1日出店につき8,000円（最大6.5m）

1日出店も可能ですが、応募多数の場合は希望日程の多い出店を優先させていただきますのでご了承ください。",Column 11,"販売される品名またはワークショップの内容

※そのまま宣伝用のチラシや画像に載せますので正確な内容をお願いします
※記載していない商品の販売は禁止となります
例　コーヒー、カフェオレ、マラサダ","インスタグラムのアカウント名
（必ず＠から記載をお願いします）
※インスタグラムが無い方は「利用なし」と記載をお願いします。
例　@baobabcoffee_kurume"
&r,フード,7月18日（土）,7月25日（土）,8月1日（土）,8月15日（土）,8月22日（土）,8月29日（土）,__and_r_,炭火で焼いた串焼き,@__and_r_
久留米焼鳥,フード,7月18日（土）,7月25日（土）,8月1日（土）,8月15日（土）,8月22日（土）,8月29日（土）,yakitori_tsukasa,焼きとり,@yakitori_tsukasa
COzY Terrace,フード,7月18日（土）,7月25日（土）,8月1日（土）,8月15日（土）,8月22日（土）,8月29日（土）,cozy_terrace209,焼き小籠包、チーズボール、トルティーヤドック、フランク,@cozy_terrace209
馳走屋　雲鶏,フード,7月18日（土）,7月25日（土）,8月1日（土）,8月15日（土）,8月22日（土）,8月29日（土）,chisouya_unchou,極の唐揚げ、極のたれ唐揚げ、ばりかわ、ばりえび、ばり手羽,@chisouya_unchou
嫁のからあげ伝説,フード,7月18日（土）,7月25日（土）,8月1日（土）,8月15日（土）,8月22日（土）,8月29日（土）,yomenokaraagedensetsu,からあげ、しゃかしゃかポテト,@yomenokaraagedensetsu
壱岐島トロルキッチン,フード,キャンセル,不参加,8月1日（土）,不参加,8月22日（土）,不参加,trollkitchencar,壱岐牛バーガー　珈琲　ソフトドリンク　アルコール,@trollkitchencar
燻製処　はやし家,フード,7月18日（土）,7月25日（土）,8月1日（土）,不参加,8月22日（土）,8月29日（土）,hayashiya.kun,バインミー、ベトナムコーヒー、オリジナル丼物（薫鶏飯）,@hayashiya.kun
六白筑後店,フード,7月18日（土）,7月25日（土）,8月1日（土）,8月15日（土）,8月22日（土）,8月29日（土）,roppaku_chikugo,ジューシーからあげ、黒豚肉うどん,@roppaku_chikugo
CHIKUGO Ma’s craft,ドリンク,7月18日（土）,7月25日（土）,8月1日（土）,8月15日（土）,8月22日（土）,8月29日（土）,chikugo_mas_craft,クラフトビール、ポップコーン,@chikugo_mas_craft
GrillDining Gaooo,フード,7月18日（土）,7月25日（土）,不参加,8月15日（土）,8月22日（土）,8月29日（土）,grilldining.gaooo,"炭火焼スペアリブ、炭火焼ソーセージ、
ビール、ノンアルコールビール",@grilldining.gaooo
STUDIO KITCHEN ,フード,キャンセル,不参加,不参加,不参加,8月22日（土）,不参加,_studiokitchen_,ホットドッグ、フランクフルト、冷やし果物、スープ、アルコール類、ちびころウィンナー,@_studiokitchen_
やきとり寅さん,フード,7月18日（土）,不参加,8月1日（土）,8月15日（土）,8月22日（土）,8月29日（土）,torasanyakitori,やきとり、焼きとうもろこし、焼きイカなど,@torasanyakitori
